报关单号,商品名称,件数,净重,单价,总价,币制,出口日期,目的国
220120250800001001,活沙蚕,20,1000,3.5,3500,USD,2026-07-05,日本
220120250800001002,红虫,15,750,4.2,3150,USD,2026-07-08,韩国
220120250800001003,葡萄虫,10,500,6.8,3400,USD,2026-07-12,日本
220120250800001004,活沙蚕,25,1250,3.5,4375,USD,2026-07-15,越南
220120250800001005,红虫,18,900,4.2,3780,JPY,2026-07-18,日本
220120250800001006,葡萄虫,12,600,6.8,4080,JPY,2026-07-20,韩国
220120250800001007,活沙蚕,22,1100,3.5,3850,USD,2026-07-22,马来西亚
220120250800001008,红虫,16,800,4.2,3360,USD,2026-07-25,新加坡
220120250800001009,葡萄虫,14,700,6.8,4760,JPY,2026-07-28,日本
220120250800001010,活沙蚕,30,1500,3.5,5250,USD,2026-07-30,澳大利亚
220120250800001011,红虫,12,600,4.2,"2,520",USD,2026-08-02,
220120250800001012,葡萄虫,8,400,6.8,5440,JPY,2026-08-05,日本
