发票号,报关单号,客户名称,金额,币种,开票日期
FP2026070501,220120250800001001,东京水产株式会社,3500,USD,2026-07-06
FP2026070801,220120250800001002,首尔鲜品贸易,3150,USD,2026-07-09
FP2026071201,220120250800001003,大阪海产商事,3400,USD,2026-07-13
FP2026071501,220120250800001004,西贡水产进出口,4375,USD,2026-07-16
FP2026071801,220120250800001005,东京水产株式会社,3780,JPY,2026-07-19
FP2026072001,220120250800001006,釜山食品贸易,4080,JPY,2026-07-21
FP2026072201,220120250800001007,吉隆坡鲜货中心,3850,USD,2026-07-23
FP2026072501,220120250800001008,新加坡海味源,3360,USD,2026-07-26
FP2026072801,220120250800001009,大阪海产商事,4760,JPY,2026-07-29
FP2026073001,220120250800001010,悉尼水产国际,5250,USD,2026-07-31
FP2026070501,220120250800001001,东京水产株式会社,3500,USD,2026-07-06
FP2026080201,220120250800001011,首尔鲜品贸易,abc,USD,2026-08-03
FP2026080501,220120250899999999,大阪海产商事,5440,JPY,2026-08-06
