客户,发票号,日期,币种,金额,报关单号,商品名称,数量,单价,目的国
上海海味鲜,INV-2026-001,2026-01-15,USD,15800.00,012345678901234567,冷冻南美虾,800,19.75,美国
青岛海产达,INV-2026-002,2026-01-20,USD,22500.00,023456789012345678,冷冻鳕鱼片,1500,15.00,日本
上海海味鲜,INV-2026-003,2026-02-03,USD,31200.00,034567890123456789,冷冻南美虾,1600,19.50,美国
大连渔港公司,INV-2026-004,2026-02-10,EUR,18900.00,045678901234567890,冷冻三文鱼,600,31.50,德国
青岛海产达,INV-2026-005,2026-02-18,USD,9800.00,056789012345678901,冷冻鳕鱼片,700,14.00,韩国
烟台水产商行,INV-2026-006,2026-03-01,JPY,2100000,067890123456789012,冷冻章鱼,3000,700.00,日本
上海海味鲜,INV-2026-007,2026-03-12,USD,27450.00,078901234567890123,冷冻南美虾,1400,19.61,美国
大连渔港公司,INV-2026-008,2026-03-20,EUR,25200.00,089012345678901234,冷冻三文鱼,800,31.50,法国
青岛海产达,INV-2026-009,2026-04-05,USD,16800.00,090123456789012345,冷冻鳕鱼片,1200,14.00,日本
烟台水产商行,INV-2026-010,2026-04-15,JPY,1850000,101234567890123456,冷冻章鱼,2500,740.00,日本
上海海味鲜,INV-2026-011,2026-05-02,USD,19600.00,112345678901234567,冷冻南美虾,1000,19.60,美国
大连渔港公司,INV-2026-012,2026-05-18,EUR,31500.00,123456789012345678,冷冻三文鱼,1000,31.50,德国
青岛海产达,INV-2026-013,2026-06-01,USD,14000.00,134567890123456789,冷冻鳕鱼片,1000,14.00,韩国
烟台水产商行,INV-2026-014,2026-06-10,JPY,2520000,145678901234567890,冷冻章鱼,3500,720.00,日本
上海海味鲜,INV-2026-015,2026-06-22,USD,23700.00,156789012345678901,冷冻南美虾,1200,19.75,美国
大连渔港公司,INV-2026-016,2026-07-05,EUR,22050.00,167890123456789012,冷冻三文鱼,700,31.50,法国
青岛海产达,INV-2026-017,2026-07-15,USD,29400.00,178901234567890123,冷冻鳕鱼片,2100,14.00,美国
烟台水产商行,INV-2026-018,2026-07-28,JPY,1680000,189012345678901234,冷冻章鱼,2400,700.00,日本
上海海味鲜,INV-2026-019,2026-08-05,USD,17750.00,190123456789012345,冷冻南美虾,900,19.72,美国
青岛海产达,INV-2026-020,2026-08-12,USD,12600.00,201234567890123456,冷冻鳕鱼片,900,14.00,韩国
