发票号,日期,客户编码,客户名称,币种,金额,报关单号,商品名称,目的国
INV-2026-101,2026-01-15,KH001,上海海味鲜,USD,15800.00,012345678901234567,冷冻南美虾,美国
INV-2026-102,2026-01-20,KH002,青岛海产达,USD,22500.00,023456789012345678,冷冻鳕鱼片,日本
INV-2026-103,2026-02-03,KH001,上海海味鲜,USD,31200.00,034567890123456789,冷冻南美虾,美国
INV-2026-104,2026-02-10,KH003,大连渔港公司,EUR,18900.00,045678901234567890,冷冻三文鱼,德国
INV-2026-105,2026-02-18,KH002,青岛海产达,USD,9800.00,056789012345678901,冷冻鳕鱼片,韩国
INV-2026-106,2026-03-01,KH004,烟台水产商行,JPY,2100000,067890123456789012,冷冻章鱼,日本
INV-2026-107,2026-03-12,KH001,上海海味鲜,USD,27450.00,078901234567890123,冷冻南美虾,美国
INV-2026-108,2026-03-20,KH003,大连渔港公司,EUR,25200.00,089012345678901234,冷冻三文鱼,法国
INV-2026-109,2026-04-05,KH002,青岛海产达,USD,16800.00,090123456789012345,冷冻鳕鱼片,日本
INV-2026-110,2026-04-15,KH004,烟台水产商行,JPY,1850000,101234567890123456,冷冻章鱼,日本
INV-2026-111,2026-05-02,KH001,上海海味鲜,USD,19600.00,112345678901234567,冷冻南美虾,美国
INV-2026-112,2026-05-18,KH003,大连渔港公司,EUR,31500.00,123456789012345678,冷冻三文鱼,德国
INV-2026-113,2026-06-01,KH002,青岛海产达,USD,14000.00,134567890123456789,冷冻鳕鱼片,韩国
INV-2026-114,2026-06-10,KH004,烟台水产商行,JPY,2520000,145678901234567890,冷冻章鱼,日本
INV-2026-115,2026-06-22,KH001,上海海味鲜,USD,23700.00,156789012345678901,冷冻南美虾,美国
INV-2026-116,2026-07-05,KH003,大连渔港公司,EUR,22050.00,167890123456789012,冷冻三文鱼,法国
INV-2026-117,2026-07-15,KH002,青岛海产达,USD,29400.00,178901234567890123,冷冻鳕鱼片,美国
INV-2026-118,2026-07-28,KH004,烟台水产商行,JPY,1680000,189012345678901234,冷冻章鱼,日本
INV-2026-119,2026-08-05,KH001,上海海味鲜,USD,17750.00,190123456789012345,冷冻南美虾,美国
INV-2026-120,2026-08-12,KH002,青岛海产达,USD,12600.00,201234567890123456,冷冻鳕鱼片,韩国
